scenario,difficulty,emotion,decision,response_time,personality,age_group,stress_level,context
money,medium,thinking,cautious,moderate,introvert,young,low,social
conflict,medium,concerned,cautious,moderate,introvert,young,low,social
conflict,medium,thinking,cautious,slow,balanced,middle,low,personal
health,high,anxious,cautious,very slow,extrovert,young,low,professional
health,high,stressed,avoidant,very slow,balanced,young,medium,personal
relationship,medium,concerned,cautious,moderate,balanced,young,medium,personal
conflict,high,stressed,cautious,very slow,balanced,middle,low,professional
money,medium,concerned,cautious,moderate,introvert,middle,medium,professional
risk,low,calm,proactive,moderate,introvert,middle,medium,professional
relationship,high,stressed,cautious,very slow,balanced,middle,low,professional
conflict,high,stressed,avoidant,slow,introvert,young,high,professional
money,medium,concerned,cautious,slow,balanced,middle,high,personal
health,high,anxious,avoidant,very slow,balanced,senior,medium,social
conflict,medium,thinking,cautious,moderate,introvert,senior,high,professional
money,high,anxious,cautious,slow,introvert,middle,low,social
risk,medium,concerned,proactive,moderate,introvert,middle,medium,personal
money,high,anxious,cautious,slow,balanced,young,low,social
health,very high,panic,impulsive,very slow,balanced,senior,high,personal
risk,medium,thinking,cautious,moderate,introvert,young,low,personal
relationship,medium,concerned,analytical,slow,balanced,senior,low,personal
money,medium,thinking,cautious,slow,balanced,middle,low,social
relationship,high,stressed,cautious,very slow,introvert,young,low,social
conflict,high,anxious,cautious,slow,balanced,senior,high,personal
relationship,medium,concerned,cautious,slow,balanced,middle,low,professional
relationship,medium,thinking,cautious,moderate,balanced,young,low,social
money,medium,concerned,cautious,moderate,extrovert,middle,medium,personal
ethics,very high,panic,impulsive,very slow,extrovert,middle,medium,professional
ethics,high,stressed,avoidant,very slow,introvert,young,high,social
career,medium,thinking,cautious,moderate,balanced,senior,low,personal
ethics,high,anxious,avoidant,slow,balanced,young,medium,personal
career,very high,panic,impulsive,very slow,extrovert,senior,high,social
relationship,high,anxious,cautious,very slow,extrovert,middle,low,social
risk,low,calm,avoidant,moderate,extrovert,senior,high,personal
ethics,very high,panic,impulsive,very slow,introvert,middle,medium,personal
